Heroin soUrces ,2009,2010,2011,2012,2013,
souTh aMeriCa saMPles ,341,346,323,375,334,
souTh aMeriCa PerCenT Pure ,33.6%,25.9%,31.1%,35.3%,35.1%,
souTh aMeriCa PriCe Per MilligraM Pure ,$1.28,$1.75,$1.18,$1.15,$1.04,
MexiCo saMPles ,322,309,296,339,293,
MexiCo PerCenT Pure ,24.7%,14.7%,16.8%,17.6%,16.9%,
MexiCo PriCe Per MilligraM Pure ,$1.11,$2.00,$1.35,$1.40,$1.12,
allegeD MexiCo whiTe saMPles ,N/A ,N/A ,N/A ,N/A ,64,
allegeD MexiCo whiTe PerCenT Pure ,N/A ,N/A ,N/A ,N/A ,35.5,
allegeD MexiCo whiTe PriCe Per MilligraM Pure ,N/A ,N/A ,N/A ,N/A ,$1.21,
souThwesT asia saMPles ,31,39,23,12,8,
souThwesT asia PerCenT Pure ,15.8%,20.9%,12.3%,18.6%,23%,
souThwesT asia PriCe Per MilligraM Pure ,$1.94,$1.21,$1.66,$1.10,$1.23,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,