age_range,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
12+,1.9,2.0,1.8,1.9,2.1,2.1,1.9,2.1,2.0,1.7,1.9,1.7,1.6
12-17,3.2,3.2,3.0,2.7,2.7,2.7,2.3,2.7,2.5,2.3,2.2,1.7,1.9
18-25,4.1,4.7,4.7,4.6,4.6,4.6,4.5,4.8,4.4,3.6,3.8,3.3,2.8
26+,1.3,1.2,1.2,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.5,1.5,1.4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,